🗼	tokyo tower	tokyo|tokyo tower|tower
🗽	statue of liberty	liberty|new|ny|nyc|of|statue|statue of liberty|york
⛪	church	bless|chapel|christian|church|cross|religion
🕌	mosque	islam|masjid|mosque|muslim|religion
🛕	hindu temple	hindu|hindu temple|temple
🕍	synagogue	jew|jewish|judaism|religion|synagogue|temple
⛩️	shinto shrine	shinto|shrine
🕋	kaaba	hajj|islam|kaaba|muslim|religion|umrah
⛲	fountain	fountain
⛺	tent	camping|tent
🌁	foggy	fog|foggy
🌃	night with stars	night|night with stars|star|stars|with
🏙️	cityscape	cityscape
🌄	sunrise over mountains	morning|mountains|over|sun|sunrise|sunrise over mountains
🌅	sunrise	morning|nature|sun|sunrise
🌆	cityscape at dusk	at|building|city|cityscape|cityscape at dusk|dusk|evening|landscape|sun|sunset
🌇	sunset	building|dusk|sun|sunset
🌉	bridge at night	at|bridge|bridge at night|night
♨️	hot springs	hot|springs
🎠	carousel horse	carousel|carousel horse|entertainment|horse
🛝	playground slide	amusement|park|play|playground|playground slide|playing|slide|sliding|theme
🎡	ferris wheel	amusement|ferris|ferris wheel|park|theme|wheel
🎢	roller coaster	amusement|coaster|park|roller|roller coaster|theme
💈	barber pole	barber|barber pole|cut|fresh|haircut|pole|shave
🎪	circus tent	circus|circus tent|tent
🚂	locomotive	caboose|engine|locomotive|railway|steam|train|trains|travel
🚃	railway car	car|electric|railway|railway car|train|tram|travel|trolleybus
🚄	high-speed train	high|high-speed|high-speed train|railway|shinkansen|speed|train
🚅	bullet train	bullet|bullet train|high-speed|nose|railway|shinkansen|speed|train|travel
🚆	train	arrived|choo|railway|train
🚇	metro	metro|subway|travel
🚈	light rail	arrived|light|light rail|monorail|rail|railway
🚉	station	railway|station|train
🚊	tram	tram|trolleybus
🚝	monorail	monorail|vehicle
🚞	mountain railway	car|mountain|mountain railway|railway|trip
🚋	tram car	bus|car|tram|tram car|trolley|trolleybus
🚌	bus	bus|school|vehicle
🚍	oncoming bus	bus|cars|oncoming|oncoming bus
🚎	trolleybus	bus|tram|trolley|trolleybus
🚐	minibus	bus|drive|minibus|van|vehicle
🚑	ambulance	ambulance|emergency|vehicle
🚒	fire engine	engine|fire|fire engine|truck
🚓	police car	5–0|car|cops|patrol|police|police car
🚔	oncoming police car	car|oncoming|oncoming police car|police
🚕	taxi	cab|cabbie|car|drive|taxi|vehicle|yellow
🚖	oncoming taxi	cab|cabbie|cars|drove|hail|oncoming|oncoming taxi|taxi|yellow
🚗	automobile	automobile|car|driving|vehicle
🚘	oncoming automobile	automobile|car|cars|drove|oncoming|oncoming automobile|vehicle
🚙	sport utility vehicle	car|drive|recreational|sport|sport utility vehicle|sportutility|utility|vehicle
🛻	pickup truck	automobile|car|flatbed|pick-up|pickup|pickup truck|transportation|truck
🚚	delivery truck	car|delivery|delivery truck|drive|truck|vehicle
🚛	articulated lorry	articulated|articulated lorry|car|drive|lorry|move|semi|truck|vehicle
🚜	tractor	tractor|vehicle
🏎️	racing car	car|racing
🏍️	motorcycle	motorcycle
🛵	motor scooter	motor|motor scooter|scooter
🦽	manual wheelchair	accessibility|manual|manual wheelchair|wheelchair
🦼	motorized wheelchair	accessibility|motorized|motorized wheelchair|wheelchair
🛺	auto rickshaw	auto|auto rickshaw|rickshaw|tuk
🚲	bicycle	bicycle|bike|class|cycle|cycling|cyclist|gang|ride|spin|spinning
🛴	kick scooter	kick|kick scooter|scooter
🛹	skateboard	board|skate|skateboard|skater|wheels
🛼	roller skate	blades|roller|roller skate|skate|skates|sport
🚏	bus stop	bus|bus stop|busstop|stop
🛣️	motorway	motorway
🛤️	railway track	railway|track
🛢️	oil drum	drum|oil
⛽	fuel pump	diesel|fuel|fuel pump|fuelpump|gas|gasoline|pump|station
🛞	wheel	car|circle|tire|turn|vehicle|wheel
🚨	police car light	alarm|alert|beacon|car|emergency|light|police|police car light|revolving|siren
🚥	horizontal traffic light	horizontal|horizontal traffic light|intersection|light|signal|stop|stoplight|traffic
🚦	vertical traffic light	drove|intersection|light|signal|stop|stoplight|traffic|vertical|vertical traffic light
🛑	stop sign	octagonal|sign|stop|stop sign
🚧	construction	barrier|construction
⚓	anchor	anchor|ship|tool
🛟	ring buoy	buoy|float|life|lifesaver|preserver|rescue|ring|ring buoy|safety|save|saver|swim
⛵	sailboat	boat|resort|sailboat|sailing|sea|yacht
🛶	canoe	boat|canoe
🚤	speedboat	billionaire|boat|lake|luxury|millionaire|speedboat|summer|travel
🛳️	passenger ship	passenger|ship
⛴️	ferry	ferry
🛥️	motor boat	boat|motor
🚢	ship	boat|passenger|ship|travel
✈️	airplane	airplane
🛩️	small airplane	airplane|small
🛫	airplane departure	aeroplane|airplane|airplane departure|check-in|departure|departures|plane
🛬	airplane arrival	aeroplane|airplane|airplane arrival|arrival|arrivals|arriving|landing|plane
🪂	parachute	hang-glide|parachute|parasail|skydive
💺	seat	chair|seat
🚁	helicopter	copter|helicopter|roflcopter|travel|vehicle
🚟	suspension railway	railway|suspension|suspension railway
🚠	mountain cableway	cable|cableway|gondola|lift|mountain|mountain cableway|ski
🚡	aerial tramway	aerial|aerial tramway|cable|car|gondola|ropeway|tramway
🛰️	satellite	satellite
🚀	rocket	launch|rocket|rockets|space|travel
🛸	flying saucer	aliens|extra|flying|flying saucer|saucer|terrestrial|ufo
🛎️	bellhop bell	bell|bellhop
🧳	luggage	bag|luggage|packing|roller|suitcase|travel
⌛	hourglass done	done|hourglass|hourglass done|sand|time|timer
⏳	hourglass not done	done|flowing|hourglass|hourglass not done|hours|not|sand|timer|waiting|yolo
⌚	watch	clock|time|watch
⏰	alarm clock	alarm|alarm clock|clock|hours|hrs|late|time|waiting
⏱️	stopwatch	stopwatch
⏲️	timer clock	clock|timer
🕰️	mantelpiece clock	clock|mantelpiece
🕛	twelve o’clock	12|12:00|clock|o|o’clock|time|twelve|twelve o’clock
🕧	twelve-thirty	12|12:30|30|clock|thirty|time|twelve|twelve-thirty
🕐	one o’clock	1|1:00|clock|o|one|one o’clock|o’clock|time
🕜	one-thirty	1|1:30|30|clock|one|one-thirty|thirty|time
🕑	two o’clock	2|2:00|clock|o|o’clock|time|two|two o’clock
🕝	two-thirty	2|2:30|30|clock|thirty|time|two|two-thirty
🕒	three o’clock	3|3:00|clock|o|o’clock|three|three o’clock|time
🕞	three-thirty	3|30|3:30|clock|thirty|three|three-thirty|time
🕓	four o’clock	4|4:00|clock|four|four o’clock|o|o’clock|time
🕟	four-thirty	30|4|4:30|clock|four|four-thirty|thirty|time
🕔	five o’clock	5|5:00|clock|five|five o’clock|o|o’clock|time
🕠	five-thirty	30|5|5:30|clock|five|five-thirty|thirty|time
🕕	six o’clock	6|6:00|clock|o|o’clock|six|six o’clock|time
🕡	six-thirty	30|6|6:30|clock|six|six-thirty|thirty
🕖	seven o’clock	0|7|7:00|clock|o|o’clock|seven|seven o’clock
🕢	seven-thirty	30|7|7:30|clock|seven|seven-thirty|thirty
🕗	eight o’clock	8|8:00|clock|eight|eight o’clock|o|o’clock|time
🕣	eight-thirty	30|8|8:30|clock|eight|eight-thirty|thirty|time
🕘	nine o’clock	9|9:00|clock|nine|nine o’clock|o|o’clock|time
🕤	nine-thirty	30|9|9:30|clock|nine|nine-thirty|thirty|time
🕙	ten o’clock	0|10|10:00|clock|o|o’clock|ten|ten o’clock
🕥	ten-thirty	10|10:30|30|clock|ten|ten-thirty|thirty|time
🕚	eleven o’clock	11|11:00|clock|eleven|eleven o’clock|o|o’clock|time
🕦	eleven-thirty	11|11:30|30|clock|eleven|eleven-thirty|thirty|time
🌑	new moon	dark|moon|new|new moon|space
🌒	waxing crescent moon	crescent|dreams|moon|space|waxing|waxing crescent moon
🌓	first quarter moon	first|first quarter moon|moon|quarter|space
🌔	waxing gibbous moon	gibbous|moon|space|waxing|waxing gibbous moon
🌕	full moon	full|full moon|moon|space
🌖	waning gibbous moon	gibbous|moon|space|waning|waning gibbous moon
🌗	last quarter moon	last|last quarter moon|moon|quarter|space
🌘	waning crescent moon	crescent|moon|space|waning|waning crescent moon
🌙	crescent moon	crescent|crescent moon|moon|ramadan|space
🌚	new moon face	face|moon|new|new moon face|space
🌛	first quarter moon face	face|first|first quarter moon face|moon|quarter|space
🌜	last quarter moon face	dreams|face|last|last quarter moon face|moon|quarter
